time="2023-06-20 17:45:25" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-06-20 17:53:48" level=info msg="| 200 |      2.5797ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:53:49" level=info msg="| 200 |     19.3412ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:53:49" level=info msg="| 200 |      2.1561ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:53:49" level=info msg="| 200 |      1.1609ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:53:49" level=info msg="| 200 |      7.6216ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:53:49" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:53:56" level=info msg="| 200 |     7.211526s |    192.168.3.67 | GET | /ws_visitor?visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:53:57" level=info msg="| 200 |      3.1033ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:53:57" level=info msg="| 200 |     18.6517ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:53:57" level=info msg="| 200 |       3.141ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:53:57" level=info msg="| 200 |      1.4513ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:53:57" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:54:00" level=info msg="| 200 |    3.0916263s |    192.168.3.67 | GET | /ws_visitor?visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:54:01" level=info msg="| 200 |      3.1193ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:54:02" level=info msg="| 200 |     20.3769ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:54:02" level=info msg="| 200 |      2.6568ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:54:02" level=info msg="| 200 |      1.5089ms |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:54:02" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:54:04" level=info msg="| 200 |    2.0603641s |    192.168.3.67 | GET | /ws_visitor?visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:54:06" level=info msg="| 200 |      2.8173ms |    192.168.3.67 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 17:54:06" level=info msg="| 200 |     18.1764ms |    192.168.3.67 | POST | /visitor_login |"
time="2023-06-20 17:54:06" level=info msg="| 200 |      2.9416ms |    192.168.3.67 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 17:54:06" level=info msg="| 200 |       933.7µs |    192.168.3.67 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 17:54:06" level=info msg="| 200 |      8.1409ms |    192.168.3.67 | POST | /2/message |"
time="2023-06-20 17:54:06" level=info msg="| 404 |            0s |    192.168.3.67 | GET | /favicon.ico |"
time="2023-06-20 17:54:09" level=info msg="| 200 |    2.6113842s |    192.168.3.67 | GET | /ws_visitor?visitor_id=0dfd8ca4-17b7-49d1-a6e1-7d7cb44693d3 |"
time="2023-06-20 18:07:35" level=info msg="| 200 |      4.7775ms |   192.168.3.116 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 18:07:35" level=info msg="| 200 |     20.2335ms |   192.168.3.116 | POST | /visitor_login |"
time="2023-06-20 18:07:36" level=info msg="| 200 |      5.3017ms |   192.168.3.116 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0d4f47a5-63b3-4c22-aa46-87509f1c9013 |"
time="2023-06-20 18:07:36" level=info msg="| 200 |      1.2805ms |   192.168.3.116 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 18:07:36" level=info msg="| 200 |      8.0791ms |   192.168.3.116 | POST | /2/message |"
time="2023-06-20 18:07:36" level=info msg="| 404 |            0s |   192.168.3.116 | GET | /favicon.ico |"
time="2023-06-20 18:07:38" level=info msg="| 200 |    2.0404304s |   192.168.3.116 | GET | /ws_visitor?visitor_id=0d4f47a5-63b3-4c22-aa46-87509f1c9013 |"
time="2023-06-20 18:07:39" level=info msg="| 200 |      6.9952ms |   192.168.3.116 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 18:07:40" level=info msg="| 200 |     17.5118ms |   192.168.3.116 | POST | /visitor_login |"
time="2023-06-20 18:07:40" level=info msg="| 200 |      4.9092ms |   192.168.3.116 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0d4f47a5-63b3-4c22-aa46-87509f1c9013 |"
time="2023-06-20 18:07:40" level=info msg="| 404 |            0s |   192.168.3.116 | GET | /favicon.ico |"
time="2023-06-20 18:07:40" level=info msg="| 200 |       795.4µs |   192.168.3.116 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 18:07:40" level=info msg="| 200 |       6.914ms |   192.168.3.116 | POST | /2/message |"
time="2023-06-20 18:07:43" level=info msg="| 200 |    2.8236204s |   192.168.3.116 | GET | /ws_visitor?visitor_id=0d4f47a5-63b3-4c22-aa46-87509f1c9013 |"
time="2023-06-20 18:15:08" level=info msg="| 200 |      6.4653ms |   192.168.3.116 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-06-20 18:15:08" level=info msg="| 200 |     15.4947ms |   192.168.3.116 | POST | /visitor_login |"
time="2023-06-20 18:15:08" level=info msg="| 200 |      7.6468ms |   192.168.3.116 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=0d4f47a5-63b3-4c22-aa46-87509f1c9013 |"
time="2023-06-20 18:15:09" level=info msg="| 200 |      1.1559ms |   192.168.3.116 | GET | /notice?kefu_id=kefu2 |"
time="2023-06-20 18:15:09" level=info msg="| 404 |            0s |   192.168.3.116 | GET | /favicon.ico |"
time="2023-06-20 18:15:09" level=info msg="| 200 |    1.1653765s |   192.168.3.116 | GET | /ws_visitor?visitor_id=0d4f47a5-63b3-4c22-aa46-87509f1c9013 |"
